"CD_RES_SECTOR","SCORE","RANK","DECILE"
"11001A00-",-0.531399955156929,13665,8
"11001A01-",-0.995351936876608,16923,10
"11001A020",-1.27427454447033,17818,10
"11001A030",-0.806628787097082,15926,9
"11001A042",-1.71267789053691,18232,10
"11001A052",-1.11479971414789,17385,10
"11001A063",-0.927851480119474,16619,10
"11001A074",1.95423786877179,256,1
"11001A091",-1.17915690061998,17600,10
"11001A0MA",0.385935424693219,4832,3
"11001A0PA",-0.154641201140945,9785,6
"11001A10-",-0.72341789692466,15307,9
"11001A173",-0.336971841428466,11696,7
"11001A190",-1.05581548210997,17181,10
"11001A20-",-1.07307104434481,17235,10
"11001A21-",-0.8366331765553,16149,9
"11002A00-",0.802229394035597,2387,2
"11002A01-",1.02413051885875,1621,1
"11002A02-",0.269329796623078,5756,4
"11002A03-",1.15244839925591,1247,1
"11002A04-",0.706374653822141,2901,2
"11002A05-",1.43268093065897,709,1
"11002A10-",0.631048716608821,3304,2
"11002A11-",0.747401399450591,2676,2
"11002A12-",0.744435500465478,2697,2
"11002A13-",1.09857828717785,1390,1
"11002A14-",-0.0465964824001524,8617,5
"11002A15-",1.35851607227442,831,1
"11002A21-",1.19221407385479,1163,1
"11002A22-",1.08496423799758,1437,1
"11002B701",0.707007694760337,2896,2
"11002B71-",-0.278332329820849,11124,7
"11002B721",-0.157912233444147,9820,6
"11002B73-",1.51475190477766,600,1
"11002B742",-0.349750041582857,11840,7
"11002B752",-0.191855294935701,10175,6
"11002B813",-0.744512064446012,15478,9
"11002B824",0.605586761154814,3433,2
"11002C20-",1.33684255749067,869,1
"11002C21-",1.66044351023621,450,1
"11002C22-",1.52903430102359,582,1
"11002C23-",0.798141040745093,2409,2
"11002C24-",1.18041936886865,1187,1
"11002C25-",0.158973109287537,6687,4
"11002C31-",-0.247010230498636,10787,6
"11002C41-",1.54841628845641,560,1
"11002C42-",1.32180318866746,898,1
"11002C43-",0.846679529216154,2207,2
"11002C44-",1.2720098904482,1000,1
"11002C45-",0.591908661893665,3516,2
